"","last_name","first_name","title","year","genre"
"1","Beckford","William","Vathek","1786","G"
"2","Radcliffe","Ann","ASicilianRomance","1790","G"
"3","Radcliffe","Ann","TheMysteriesofUdolpho","1794","G"
"4","Lewis","Matthew","TheMonk","1795","G"
"5","Austen","Jane","SenseandSensibility","1811","N"
"6","Shelley","Mary","Frankenstein","1818","G"
"7","Scott","Walter","Ivanhoe","1820","N"
"8","Poe","EdgarAllen","TheNarrativeofArthurGordonPym","1838","N"
"9","Bronte","Emily","WutheringHeights","1847","G"
"10","Hawthorne","Nathaniel","TheHouseoftheSevenGables","1851","N"
"11","Gaskell","Elizabeth","NorthandSouth","1854","N"
"12","Collins","Wilkie","TheWomaninWhite","1860","N"
"13","Dickens","Charles","GreatExpectations","1861","N"
"14","James","Henry","PortraitofaLady","1881","N"
"15","Stevenson","RobertLouis","TreasureIsland","1882","N"
"16","Stevenson","RobertLouis","JekyllandHyde","1886","G"
"17","Wilde","Oscar","ThePictureofDorianGray","1890","G"
"18","Stoker","Bram","Dracula","1897","G"
