"","date","births","wday","year","month","day_of_year","day_of_month","day_of_week","wknd"
"1",1978-01-01,7701,"Sun",1978,1,1,1,1,"yes"
"2",1978-01-02,7527,"Mon",1978,1,2,2,2,"no"
"3",1978-01-03,8825,"Tue",1978,1,3,3,3,"no"
"4",1978-01-04,8859,"Wed",1978,1,4,4,4,"no"
"5",1978-01-05,9043,"Thu",1978,1,5,5,5,"no"
"6",1978-01-06,9208,"Fri",1978,1,6,6,6,"no"
"7",1978-01-07,8084,"Sat",1978,1,7,7,7,"yes"
"8",1978-01-08,7611,"Sun",1978,1,8,8,1,"yes"
"9",1978-01-09,9172,"Mon",1978,1,9,9,2,"no"
"10",1978-01-10,9089,"Tue",1978,1,10,10,3,"no"
"11",1978-01-11,9210,"Wed",1978,1,11,11,4,"no"
"12",1978-01-12,9259,"Thu",1978,1,12,12,5,"no"
"13",1978-01-13,9138,"Fri",1978,1,13,13,6,"no"
"14",1978-01-14,8299,"Sat",1978,1,14,14,7,"yes"
"15",1978-01-15,7771,"Sun",1978,1,15,15,1,"yes"
"16",1978-01-16,9458,"Mon",1978,1,16,16,2,"no"
"17",1978-01-17,9339,"Tue",1978,1,17,17,3,"no"
"18",1978-01-18,9120,"Wed",1978,1,18,18,4,"no"
"19",1978-01-19,9226,"Thu",1978,1,19,19,5,"no"
"20",1978-01-20,9305,"Fri",1978,1,20,20,6,"no"
"21",1978-01-21,7954,"Sat",1978,1,21,21,7,"yes"
"22",1978-01-22,7560,"Sun",1978,1,22,22,1,"yes"
"23",1978-01-23,9252,"Mon",1978,1,23,23,2,"no"
"24",1978-01-24,9416,"Tue",1978,1,24,24,3,"no"
"25",1978-01-25,9090,"Wed",1978,1,25,25,4,"no"
"26",1978-01-26,9387,"Thu",1978,1,26,26,5,"no"
"27",1978-01-27,8983,"Fri",1978,1,27,27,6,"no"
"28",1978-01-28,7946,"Sat",1978,1,28,28,7,"yes"
"29",1978-01-29,7527,"Sun",1978,1,29,29,1,"yes"
"30",1978-01-30,9184,"Mon",1978,1,30,30,2,"no"
"31",1978-01-31,9152,"Tue",1978,1,31,31,3,"no"
"32",1978-02-01,9159,"Wed",1978,2,32,1,4,"no"
"33",1978-02-02,9218,"Thu",1978,2,33,2,5,"no"
"34",1978-02-03,9167,"Fri",1978,2,34,3,6,"no"
"35",1978-02-04,8065,"Sat",1978,2,35,4,7,"yes"
"36",1978-02-05,7804,"Sun",1978,2,36,5,1,"yes"
"37",1978-02-06,9225,"Mon",1978,2,37,6,2,"no"
"38",1978-02-07,9328,"Tue",1978,2,38,7,3,"no"
"39",1978-02-08,9139,"Wed",1978,2,39,8,4,"no"
"40",1978-02-09,9247,"Thu",1978,2,40,9,5,"no"
"41",1978-02-10,9527,"Fri",1978,2,41,10,6,"no"
"42",1978-02-11,8144,"Sat",1978,2,42,11,7,"yes"
"43",1978-02-12,7950,"Sun",1978,2,43,12,1,"yes"
"44",1978-02-13,8966,"Mon",1978,2,44,13,2,"no"
"45",1978-02-14,9859,"Tue",1978,2,45,14,3,"no"
"46",1978-02-15,9285,"Wed",1978,2,46,15,4,"no"
"47",1978-02-16,9103,"Thu",1978,2,47,16,5,"no"
"48",1978-02-17,9238,"Fri",1978,2,48,17,6,"no"
"49",1978-02-18,8167,"Sat",1978,2,49,18,7,"yes"
"50",1978-02-19,7695,"Sun",1978,2,50,19,1,"yes"
"51",1978-02-20,9021,"Mon",1978,2,51,20,2,"no"
"52",1978-02-21,9252,"Tue",1978,2,52,21,3,"no"
"53",1978-02-22,9335,"Wed",1978,2,53,22,4,"no"
"54",1978-02-23,9268,"Thu",1978,2,54,23,5,"no"
"55",1978-02-24,9552,"Fri",1978,2,55,24,6,"no"
"56",1978-02-25,8313,"Sat",1978,2,56,25,7,"yes"
"57",1978-02-26,7881,"Sun",1978,2,57,26,1,"yes"
"58",1978-02-27,9262,"Mon",1978,2,58,27,2,"no"
"59",1978-02-28,9705,"Tue",1978,2,59,28,3,"no"
"60",1978-03-01,9132,"Wed",1978,3,60,1,4,"no"
"61",1978-03-02,9304,"Thu",1978,3,61,2,5,"no"
"62",1978-03-03,9431,"Fri",1978,3,62,3,6,"no"
"63",1978-03-04,8008,"Sat",1978,3,63,4,7,"yes"
"64",1978-03-05,7791,"Sun",1978,3,64,5,1,"yes"
"65",1978-03-06,9294,"Mon",1978,3,65,6,2,"no"
"66",1978-03-07,9573,"Tue",1978,3,66,7,3,"no"
"67",1978-03-08,9212,"Wed",1978,3,67,8,4,"no"
"68",1978-03-09,9218,"Thu",1978,3,68,9,5,"no"
"69",1978-03-10,9583,"Fri",1978,3,69,10,6,"no"
"70",1978-03-11,8144,"Sat",1978,3,70,11,7,"yes"
"71",1978-03-12,7870,"Sun",1978,3,71,12,1,"yes"
"72",1978-03-13,9022,"Mon",1978,3,72,13,2,"no"
"73",1978-03-14,9525,"Tue",1978,3,73,14,3,"no"
"74",1978-03-15,9284,"Wed",1978,3,74,15,4,"no"
"75",1978-03-16,9327,"Thu",1978,3,75,16,5,"no"
"76",1978-03-17,9480,"Fri",1978,3,76,17,6,"no"
"77",1978-03-18,7965,"Sat",1978,3,77,18,7,"yes"
"78",1978-03-19,7729,"Sun",1978,3,78,19,1,"yes"
"79",1978-03-20,9135,"Mon",1978,3,79,20,2,"no"
"80",1978-03-21,9663,"Tue",1978,3,80,21,3,"no"
"81",1978-03-22,9307,"Wed",1978,3,81,22,4,"no"
"82",1978-03-23,9159,"Thu",1978,3,82,23,5,"no"
"83",1978-03-24,9157,"Fri",1978,3,83,24,6,"no"
"84",1978-03-25,7874,"Sat",1978,3,84,25,7,"yes"
"85",1978-03-26,7589,"Sun",1978,3,85,26,1,"yes"
"86",1978-03-27,9100,"Mon",1978,3,86,27,2,"no"
"87",1978-03-28,9293,"Tue",1978,3,87,28,3,"no"
"88",1978-03-29,9195,"Wed",1978,3,88,29,4,"no"
"89",1978-03-30,8902,"Thu",1978,3,89,30,5,"no"
"90",1978-03-31,9318,"Fri",1978,3,90,31,6,"no"
"91",1978-04-01,8069,"Sat",1978,4,91,1,7,"yes"
"92",1978-04-02,7691,"Sun",1978,4,92,2,1,"yes"
"93",1978-04-03,9114,"Mon",1978,4,93,3,2,"no"
"94",1978-04-04,9439,"Tue",1978,4,94,4,3,"no"
"95",1978-04-05,8852,"Wed",1978,4,95,5,4,"no"
"96",1978-04-06,8969,"Thu",1978,4,96,6,5,"no"
"97",1978-04-07,9077,"Fri",1978,4,97,7,6,"no"
"98",1978-04-08,7890,"Sat",1978,4,98,8,7,"yes"
"99",1978-04-09,7445,"Sun",1978,4,99,9,1,"yes"
"100",1978-04-10,8870,"Mon",1978,4,100,10,2,"no"
