fid,field_1,Lake,Area,Country,Continent,Name,lat,lon,lat_dms,lon_dms,coords_3395,lon_3395,lat_3395
1,1,Arenal Lagoon,Alajuela,Costa Rica,North America,unnamed,10.4914251,-84.85169637,10°29?29.1304?,-84°51?6.1069?,Point (-9445647.63285386 1166706.48735204),-9445647.633,1166706
2,2,Bangweulu Swamp,,Zambia,Africa,Nsanga,-11.14741,29.78458152,-11°8?50.6760?,29°47?4.4935?,Point (3315604.44829715 -1240572.14607131),3315604.448,-1240572
3,3,Bassenthwaite Lake,England,United Kingdom,Europe,Eachy,54.65278775,-3.213611557,54°39?10.0359?,-3°12?49.0016?,Point (-357737.60213262 7259890.14217639),-357737.6021,7259890
4,4,Bear Lake,"Idaho, Utah",USA,North America,"Bear Lake Monster, Isabella",42.2172123,-111.3198808,42°13?1.9643?,-111°19?11.5709?,Point (-12392072.44582391 5164853.16566773),-12392072.45,5164853
5,5,Brosno Lake,Tver Oblast,Russia,Europe,Brosno Dragon,56.82407,31.914652,56°49?26.6520?,31°54?52.7472?,Point (3552722.80948453 7688451.06249625),3552722.809,7688451
6,6,Bueng Khong Long,Bueng Kan,Thailand,Asia,Phaya Naga,18.0236299,104.0143604,18°1?25.0676?,104°0?51.6974?,Point (11578825.63491604 2027100.69217741),11578825.63,2027101
7,7,Crescent Lake,Newfoundland and Labrador,Canada,North America,Cressie,43.9861839,-70.4770014,43°59?10.2620?,-70°28?37.2050?,Point (-7845463.90848483 5433619.49431843),-7845463.908,5433619
8,8,Flathead Lake,Montana,USA,North America,Flathead Lake Monster,47.8777706,-114.1268842,47°52?39.9742?,-114°7?36.7831?,Point (-12704546.6349669 6054835.75628427),-12704546.63,6054836
9,9,Fulks Lake,Indiana,USA,North America,"Beast of 'Busco, Oscar the Turtle",41.9744742,-85.04897122,41°58?28.1071?,-85°2?56.2964?,Point (-9467608.16870218 5128571.83534558),-9467608.169,5128572
10,10,Great Salt Lake,Utah,USA,North America,North Shore Monster,41.187067,-112.5200005,41°11?13.4412?,-112°31?12.0018?,Point (-12525669.15971889 5011828.77262688),-12525669.16,5011829
11,11,Gryttjen,,Sweden,Europe,Gryttie,62.2439987,16.9680446,62°14?38.3953?,16°58?4.9606?,Point (1888874.08462955 8879380.98301899),1888874.085,8879381
12,12,Hudson River,New York,USA,North America,"Hudson River Monster, Kipsy",42.6340266,-73.7519742,42°38?2.4958?,-73°45?7.1071?,Point (-8210032.21294265 5227482.48350369),-8210032.213,5227482
